country_iso2,grate_gdpproj
AT,0.6607774495840008
BI,0.45058752165705784
BE,0.7489663223751808
BJ,0.6640900456155939
BF,0.1761235729536213
BG,1.4145539972199062
BA,3.3278797521981884
BR,1.7476058969302328
BW,2.7101018541102446
CF,0.43326113136748645
CH,1.127337767555475
CN,4.804820242949124
CM,0.7951925634323302
CG,2.18458117652878
KM,0.2923085761738115
CV,0.7887925560054897
CY,2.076953282776104
CZ,0.7744224611256413
DE,0.7696555658587706
DJ,0.1095211320015098
DK,0.7817472953394101
DZ,1.1283858817647379
EG,1.4746908277182638
ER,3.304722410816277
ES,0.9494760592482737
EE,1.3327562957020151
ET,0.5648862844092976
FI,0.9086047108155156
FR,0.7480223979769994
GA,0.16570145224559493
GB,1.186249833373727
GH,0.9137497466665976
GN,0.19717791940232984
GW,0.7824922360716802
GQ,0.7669439770073125
GR,1.0445752856589026
HR,1.5149884404154879
HU,1.6946662783141677
IN,3.7634489080527516
IE,0.6906939068477163
IR,0.7991546398907325
IQ,3.1046770386756295
IS,1.4130014744670807
IT,1.2082374315369553
JO,2.082591453535002
KE,2.0201097662714798
KW,0.25434279884247457
LB,1.3926166580804786
LR,3.739294249023237
LY,0.12120250301155741
LS,0.7598605381791732
LT,1.3703236452723695
LU,1.6094413602529294
LV,1.915085885939084
MA,0.6140858283635412
MD,10.32946056947056
MG,0.9422681592146663
MK,3.681327608276147
ML,1.2596480686785887
MZ,1.5676448862331713
MR,1.5366108210566565
MU,0.8559603780810356
MW,2.209112631966263
"NA",1.7240502983059889
NE,1.0404537037997796
NG,2.017096416751008
NL,1.235493992369933
NO,0.8274871248483396
OM,0.17947803330567208
PL,1.8496626320763458
PT,1.7323058208155264
RU,1.7022512802010434
RW,0.26806555781148494
SA,0.5437736574979786
SD,0.9352111806272789
SN,0.33789253500481664
SL,1.1082258509315233
RS,4.721490097232724
ST,0.8960482694474838
SK,1.0060384013891046
SI,0.575942783778729
SE,0.7808552759019175
SZ,0.7607731397159855
TD,0.39293473349031555
TG,0.09382462488092666
TH,2.1158056188461374
TN,2.2207167300850608
TR,1.0526964757118673
TZ,0.5140387254610013
UG,0.46811105737005876
US,1.0319959696574375
YE,8.926908233494967
ZA,2.124355751655085
ZM,0.9818298028421206
ZW,3.231400001776406
