eq,estimate,stderr,dof,t,p,min90,max90,x
"prec",.0140077,.01583174,89,.88478573,.37865634,-.01230711,.04032251,0
"prec",.01298865,.01521561,89,.85363985,.39559629,-.01230205,.03827935,1
"prec",.0119696,.01461181,89,.81917285,.414876,-.0123175,.0362567,2
"prec",.01095055,.01402195,89,.78095785,.43689965,-.01235611,.03425721,3
"prec",.0099315,.01344785,89,.73851968,.4621418,-.01242092,.03228393,4
"prec",.00891246,.01289163,89,.6913368,.49115333,-.01251543,.03034035,5
"prec",.00789341,.01235569,89,.6388482,.5245624,-.01264366,.02843048,6
"prec",.00687436,.01184279,89,.5804682,.5630658,-.01281019,.02655891,7
"prec",.00585531,.01135605,89,.51561187,.607404,-.0130202,.02473083,8
"prec",.00483627,.01089898,89,.44373575,.65831058,-.01327953,.02295206,9
"prec",.00381722,.01047546,89,.36439628,.71642647,-.01359462,.02122905,10
"prec",.00279817,.01008971,89,.27732889,.78217072,-.0139725,.01956884,11
"prec",.00177912,.00974623,89,.18254442,.85557067,-.01442063,.01797888,12
"prec",.00076007,.00944963,89,.08043423,.9360725,-.01494668,.01646683,13
"prec",-.00025897,.00920443,89,-.02813585,.9776168,-.01555817,.01504022,14
"prec",-.00127802,.00901484,89,-.14176884,.88758302,-.01626208,.01370603,15
"prec",-.00229707,.0088844,89,-.25855101,.79657869,-.01706433,.01247018,16
"prec",-.00331612,.00881576,89,-.37615821,.70769447,-.01796928,.01133704,17
"prec",-.00433517,.00881034,89,-.4920541,.62389263,-.01897933,.01030899,18
"prec",-.00535421,.00886828,89,-.60374879,.54754645,-.02009468,.00938625,19
"prec",-.00637326,.00898834,89,-.70905867,.48014138,-.02131328,.00856676,20
"prec",-.00739231,.00916809,89,-.80630876,.42221414,-.0226311,.00784648,21
"prec",-.00841136,.0094041,89,-.89443574,.37350129,-.02404243,.00721971,22
"prec",-.00943041,.00969226,89,-.97298366,.33319848,-.02554044,.00667963,23
"prec",-.01044946,.01002807,89,-1.0420202,.30022464,-.02711767,.00621876,24
"prec",-.0114685,.01040694,89,-1.1020055,.2734305,-.02876645,.00582944,25
"prec",-.01248755,.01082433,89,-1.1536559,.25172998,-.03047926,.00550416,26
"prec",-.0135066,.01127597,89,-1.1978217,.23416672,-.03224901,.00523581,27
"prec",-.01452565,.01175791,89,-1.2353936,.21993523,-.03406912,.00501783,28
"prec",-.0155447,.01226658,89,-1.2672391,.20837569,-.03593366,.00484427,29
"prec",-.01656374,.0127988,89,-1.2941634,.19895711,-.03783734,.00470986,30
"prec",-.01758279,.01335175,89,-1.3168901,.19125627,-.03977547,.0046099,31
"prec",-.01860184,.01392296,89,-1.3360547,.18493759,-.04174396,.00454029,32
"prec",-.01962089,.01451027,89,-1.3522065,.17973534,-.04373921,.00449744,33
"prec",-.02063994,.01511181,89,-1.3658146,.17543885,-.04575812,.00447825,34
"prec",-.02165898,.01572595,89,-1.3772769,.17188067,-.04779795,.00447998,35
"prec",-.02267803,.01635125,89,-1.3869292,.16892722,-.04985635,.00450029,36
"prec",-.02369708,.0169865,89,-1.3950535,.16647143,-.05193128,.00453713,37
"prec",-.02471613,.01763062,89,-1.4018867,.16442713,-.05402095,.0045887,38
"prec",-.02573518,.01828266,89,-1.4076274,.16272457,-.0561238,.00465345,39
"prec",-.02675422,.01894181,89,-1.4124424,.16130703,-.05823846,.00473002,40
